,group_id,member_id,spectrometer,years,dys,month_name
0,AVW,EPL,C5,2020,0.010416666666666666,July
1,AVW,NMJ,B4,2019,0.07013888888888889,June
2,GNT,CBW,D7,2017,0.02986111111111112,May
3,VGY,DBZ,B4,2020,0.07013888888888889,October
4,KJR,HZX,A4,2018,0.02986111111111112,April
5,LPA,EFZ,B4,2017,0.0034722222222222225,November
6,LPA,EFZ,D7,2019,0.010416666666666666,August
7,GNT,IEZ,P6,2020,0.02986111111111112,December
8,KJR,CWA,D7,2019,0.02986111111111112,September
9,XSO,RRV,C5,2020,0.034722222222222224,July
10,GNT,RBQ,A4,2020,0.07013888888888889,January
11,LPU,NAB,D7,2018,0.052083333333333336,August
12,EJO,ZSP,N4,2020,0.02986111111111112,April
13,LPU,JCT,B4,2019,0.034722222222222224,June
14,AVW,EPL,N4,2020,0.07013888888888889,September
15,AVW,NMJ,B4,2019,0.052083333333333336,December
16,VGY,COM,A4,2019,0.06458333333333334,June
17,UVC,FWF,N4,2020,0.052083333333333336,March
18,AVW,CAH,D7,2020,0.02986111111111112,February
19,PCG,DAA,B4,2020,0.06458333333333334,July
20,GMD,HWX,A4,2018,0.0034722222222222225,May
21,GQF,HCJ,P6,2017,0.02986111111111112,September
22,NAX,XGT,B4,2018,0.06458333333333334,July
23,GNT,IEZ,B4,2018,0.07013888888888889,August
24,YGH,SPM,N4,2020,0.02986111111111112,May
25,EJO,CYT,D7,2017,0.034722222222222224,August
26,LPA,EFZ,B4,2018,0.0034722222222222225,July
27,WUB,UPN,A4,2017,0.034722222222222224,December
28,WTV,ISC,D7,2018,0.07013888888888889,July
29,KJR,XZZ,D7,2020,0.02986111111111112,August
30,UWT,XHC,C5,2018,0.02986111111111112,March
31,GQF,HCJ,C5,2017,0.02986111111111112,May
32,KDC,PUQ,D7,2018,0.010416666666666666,October
33,PMQ,HWC,D7,2019,0.034722222222222224,October
34,WUB,MDZ,A4,2020,0.02986111111111112,June
35,PMQ,OUX,P6,2020,0.052083333333333336,June
36,WUB,CER,P6,2017,0.052083333333333336,March
37,GNT,AEO,D7,2018,0.0034722222222222225,June
38,UVC,FBV,B4,2017,0.07013888888888889,February
39,BZR,BZO,B4,2017,0.06458333333333334,March
40,VGY,DBZ,A4,2020,0.07013888888888889,June
41,AVW,UZA,A4,2017,0.02986111111111112,October
42,UVC,FBV,N4,2018,0.02986111111111112,January
43,YGH,BTT,D7,2020,0.010416666666666666,February
44,OLP,VXR,P6,2020,0.010416666666666666,January
45,VGY,DBZ,B4,2017,0.07013888888888889,June
46,UWT,JIG,A4,2018,0.06458333333333334,November
47,GMD,PHU,N4,2020,0.06458333333333334,March
48,HAE,KFK,A4,2019,0.034722222222222224,October
49,LPA,OTP,N4,2019,0.02986111111111112,July
50,HAE,JPQ,N4,2019,0.034722222222222224,October
51,HAE,JOU,P6,2019,0.07013888888888889,July
52,VGY,VSZ,P6,2017,0.0034722222222222225,April
53,UVC,FBV,D7,2020,0.034722222222222224,June
54,YGH,WPH,N4,2017,0.010416666666666666,December
55,KDC,YRX,P6,2019,0.06458333333333334,February
56,HAE,TMH,B4,2020,0.06458333333333334,April
57,EJO,CYT,P6,2017,0.0034722222222222225,January
58,KDC,YVJ,N4,2018,0.052083333333333336,June
59,LPU,VDP,D7,2020,0.052083333333333336,September
60,VGY,DBZ,N4,2020,0.06458333333333334,April
61,UWT,QJJ,P6,2020,0.02986111111111112,July
62,LPA,EFZ,C5,2018,0.0034722222222222225,October
63,WUB,CER,N4,2018,0.034722222222222224,September
64,BZR,BZO,D7,2019,0.07013888888888889,October
65,GQF,QPF,P6,2018,0.0034722222222222225,March
66,KJR,CWA,P6,2017,0.010416666666666666,June
67,GMD,PHU,D7,2020,0.034722222222222224,March
68,UVC,SXJ,A4,2018,0.07013888888888889,January
69,GMD,CIS,A4,2020,0.0034722222222222225,December
70,VGY,COM,B4,2020,0.0034722222222222225,July
71,GNT,CBW,C5,2020,0.0034722222222222225,December
72,GMD,DKW,D7,2017,0.06458333333333334,May
73,VGY,VSZ,B4,2017,0.06458333333333334,May
74,GQF,IHZ,C5,2017,0.0034722222222222225,December
75,UWT,LKP,C5,2019,0.02986111111111112,October
76,NAX,XGT,N4,2019,0.034722222222222224,April
77,PCG,PKK,B4,2018,0.052083333333333336,November
78,NAX,XGT,C5,2017,0.06458333333333334,May
79,AVW,UZA,D7,2017,0.052083333333333336,August
80,HAE,JOU,B4,2018,0.010416666666666666,December
81,PCG,DAA,D7,2019,0.0034722222222222225,October
82,UVC,VOE,P6,2020,0.010416666666666666,March
83,YGH,OOV,B4,2018,0.07013888888888889,January
84,EJO,OCF,A4,2018,0.06458333333333334,July
85,UWT,QJJ,B4,2018,0.052083333333333336,January
86,NAX,XGT,P6,2019,0.0034722222222222225,July
87,UWT,ZKC,N4,2017,0.010416666666666666,January
88,PMQ,MTO,A4,2020,0.02986111111111112,July
89,BZR,YIR,N4,2018,0.06458333333333334,December
90,LPA,EFZ,D7,2017,0.0034722222222222225,September
91,WTV,XFS,C5,2018,0.052083333333333336,March
92,BZR,TNA,C5,2017,0.052083333333333336,October
93,UWT,QJJ,D7,2017,0.034722222222222224,December
